"SDG","Frequency","Color"
"SDG 17",249,"#19486A"
"SDG 16",163,"#00689D"
"SDG 6",121,"#26BDE2"
"SDG 12",59,"#BF8B2E"
"SDG 11",55,"#FD9D24"
"SDG 3",50,"#4C9F38"
"SDG 2",47,"#DDA63A"
"SDG 13",39,"#3F7E44"
"SDG 1",34,"#E5243B"
"SDG 15",32,"#56C02B"
"SDG 7",24,"#FCC30B"
"SDG 9",24,"#FD6925"
"SDG 10",21,"#DD1367"
"SDG 14",14,"#0A97D9"
"SDG 8",9,"#A21942"
"SDG 5",3,"#FF3A21"
"SDG 4",1,"#C5192D"
