"Project","Frequency"
"P079032",10
"P085375",13
"P086592",14
"P088799",14
"P088966",15
"P089985",12
"P090990",6
"P092218",9
"P092429",6
"P093765",13
"P093775",12
"P096124",14
"P096481",8
"P096532",12
"P099270",12
"P101103",10
