"SDG","Frequency","Color"
"SDG 17",249,"#19486A"
"SDG 16",163,"#00689D"
"SDG 6",121,"#26BDE2"
"SDG 12",62,"#BF8B2E"
"SDG 3",51,"#4C9F38"
"SDG 11",50,"#FD9D24"
"SDG 2",47,"#DDA63A"
"SDG 13",37,"#3F7E44"
"SDG 1",35,"#E5243B"
"SDG 15",32,"#56C02B"
"SDG 9",25,"#FD6925"
"SDG 7",24,"#FCC30B"
"SDG 10",20,"#DD1367"
"SDG 14",14,"#0A97D9"
"SDG 8",8,"#A21942"
"SDG 5",2,"#FF3A21"
"SDG 4",1,"#C5192D"
